model,config,sum_rmse,rmse_lo,rmse_hi,time_s,status
NN,"{""hidden_sizes"": [256], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 256}",0.27006,0.27081,0.26931,0.9,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 32}",0.11251,0.10901,0.116,7.73,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 64}",0.13456,0.12419,0.14494,5.37,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 128}",0.16582,0.16356,0.16807,3.49,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 256}",0.16582,0.16356,0.16807,3.51,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 32}",0.11871,0.12795,0.10948,13.62,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 64}",0.13247,0.1274,0.13754,7.39,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 128}",0.13575,0.12797,0.14353,2.62,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 256}",0.13575,0.12797,0.14353,2.63,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 32}",0.11839,0.13575,0.10103,2.21,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 64}",0.12006,0.10817,0.13195,1.28,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 128}",0.15429,0.14867,0.1599,0.95,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 256}",0.15429,0.14867,0.1599,0.86,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 32}",0.09023,0.09574,0.08471,4.41,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 64}",0.1265,0.13055,0.12245,2.53,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 128}",0.12963,0.12006,0.1392,1.72,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 256}",0.12963,0.12006,0.1392,1.7,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 32}",0.10242,0.11792,0.08692,6.67,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 64}",0.12184,0.13264,0.11103,3.85,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 128}",0.13464,0.13238,0.1369,2.76,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 256}",0.13464,0.13238,0.1369,2.65,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 32}",0.12968,0.14049,0.11887,2.28,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 64}",0.14262,0.14028,0.14495,2.67,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 128}",0.19458,0.20651,0.18264,1.49,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 256}",0.19458,0.20651,0.18264,1.81,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 32}",0.13564,0.14718,0.1241,7.36,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 64}",0.12899,0.12837,0.12961,5.35,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 128}",0.1352,0.12729,0.14311,3.38,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 256}",0.1352,0.12729,0.14311,3.6,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 32}",0.11783,0.13087,0.10478,6.78,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 64}",0.12981,0.12634,0.13329,7.79,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 128}",0.13023,0.12068,0.13978,5.09,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 256}",0.13023,0.12068,0.13978,4.89,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 32}",0.22647,0.29944,0.15351,2.38,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 64}",0.1138,0.12498,0.10262,2.63,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 128}",0.12753,0.11876,0.1363,1.78,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 256}",0.12753,0.11876,0.1363,1.72,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 32}",0.1618,0.24337,0.08023,4.6,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 64}",0.10447,0.11509,0.09386,5.34,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 128}",0.12896,0.13022,0.1277,3.5,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 256}",0.12896,0.13022,0.1277,3.63,ok
