model,config,sum_rmse,rmse_lo,rmse_hi,time_s,status
NN,"{""hidden_sizes"": [64], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 256}",0.22305,0.29763,0.14848,1.27,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 32}",0.14322,0.14296,0.14349,3.35,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 64}",0.1773,0.21233,0.14228,1.93,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 128}",0.1773,0.21233,0.14228,1.95,ok
NN,"{""hidden_sizes"": [64], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 256}",0.1773,0.21233,0.14228,1.95,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 32}",0.40763,0.38121,0.43404,1.12,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 64}",0.51818,0.39772,0.63863,0.68,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 128}",0.51818,0.39772,0.63863,0.69,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 256}",0.51818,0.39772,0.63863,0.65,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 32}",0.23679,0.31277,0.1608,2.25,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 64}",0.38361,0.36631,0.40091,1.29,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 128}",0.38361,0.36631,0.40091,1.32,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.001, ""epochs"": 200, ""batch_size"": 256}",0.38361,0.36631,0.40091,1.29,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 32}",0.18618,0.23059,0.14178,3.35,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 64}",0.25142,0.32385,0.17899,1.95,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 128}",0.25142,0.32385,0.17899,1.94,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 256}",0.25142,0.32385,0.17899,1.96,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 32}",0.18951,0.23571,0.14331,1.13,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 64}",0.33402,0.32447,0.34356,0.67,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 128}",0.33402,0.32447,0.34356,0.65,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 256}",0.33402,0.32447,0.34356,0.66,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 32}",0.13397,0.13346,0.13448,2.25,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 64}",0.17205,0.20415,0.13994,1.33,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 128}",0.17205,0.20415,0.13994,1.29,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 256}",0.17205,0.20415,0.13994,1.32,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 32}",0.14094,0.1402,0.14167,3.37,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 64}",0.14235,0.14674,0.13795,1.95,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 128}",0.14235,0.14674,0.13795,1.95,ok
NN,"{""hidden_sizes"": [128], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 256}",0.14235,0.14674,0.13795,1.95,ok
NN,"{""hidden_sizes"": [256], ""lr"": 0.001, ""epochs"": 100, ""batch_size"": 32}",0.24735,0.3132,0.1815,1.17,ok
