model,n_train,data_seed,init_seed,picp,mpiw,sum_rmse,interval_score,time_s
QRF,200,5,8,0.818333,1.6785,0.1441,2.0949,0.38
QRF,200,5,9,0.821667,1.6749,0.1436,2.088,0.4
QRF,200,5,-1,0.823333,1.6711,0.1427,2.0961,0.0
QRF,200,6,0,0.815,1.6097,0.2046,2.2858,0.38
QRF,200,6,1,0.823333,1.6113,0.2043,2.3239,0.43
QRF,200,6,2,0.818333,1.6197,0.2052,2.3419,0.42
QRF,200,6,3,0.811667,1.6075,0.204,2.3368,0.41
QRF,200,6,4,0.825,1.6162,0.2042,2.3177,0.36
QRF,200,6,5,0.815,1.6151,0.2116,2.4078,0.41
QRF,200,6,6,0.828333,1.6348,0.187,2.23,0.41
QRF,200,6,7,0.831667,1.6299,0.1897,2.2405,0.42
QRF,200,6,8,0.82,1.6089,0.2177,2.3648,0.36
QRF,200,6,9,0.818333,1.6137,0.2051,2.3225,0.39
QRF,200,6,-1,0.823333,1.6167,0.1968,2.2898,0.0
QRF,200,7,0,0.851667,1.717,0.1431,2.0676,0.35
QRF,200,7,1,0.85,1.7019,0.1401,2.0553,0.4
QRF,200,7,2,0.846667,1.7086,0.1433,2.0909,0.37
QRF,200,7,3,0.85,1.7078,0.1409,2.0621,0.42
QRF,200,7,4,0.848333,1.7133,0.1412,2.0625,0.35
QRF,200,7,5,0.851667,1.7114,0.1365,2.0881,0.43
QRF,200,7,6,0.851667,1.7126,0.1424,2.0716,0.37
QRF,200,7,7,0.85,1.7185,0.1424,2.0736,0.37
QRF,200,7,8,0.851667,1.715,0.1485,2.0811,0.48
QRF,200,7,9,0.851667,1.7063,0.1445,2.0831,0.41
QRF,200,7,-1,0.848333,1.7112,0.1343,2.0539,0.0
QRF,200,8,0,0.855,1.7232,0.1488,2.1065,0.35
QRF,200,8,1,0.85,1.7146,0.1656,2.1358,0.38
QRF,200,8,2,0.855,1.7147,0.1548,2.0991,0.35
QRF,200,8,3,0.845,1.7021,0.1743,2.1848,0.38
QRF,200,8,4,0.855,1.7249,0.1522,2.1065,0.4
QRF,200,8,5,0.856667,1.71,0.1608,2.1332,0.45
QRF,200,8,6,0.851667,1.696,0.1679,2.1932,0.39
QRF,200,8,7,0.851667,1.7081,0.1785,2.1676,0.38
QRF,200,8,8,0.846667,1.7181,0.1642,2.1241,0.41
QRF,200,8,9,0.853333,1.7066,0.1688,2.1284,0.37
QRF,200,8,-1,0.848333,1.7119,0.1562,2.1155,0.0
QRF,200,9,0,0.861667,1.6783,0.1429,1.9901,0.39
QRF,200,9,1,0.86,1.6865,0.1386,1.9923,0.36
QRF,200,9,2,0.86,1.6804,0.1409,1.9945,0.39
QRF,200,9,3,0.868333,1.6937,0.1353,1.984,0.34
QRF,200,9,4,0.863333,1.6876,0.138,1.9936,0.36
QRF,200,9,5,0.863333,1.6874,0.1369,1.9787,0.37
QRF,200,9,6,0.861667,1.6782,0.1385,1.9867,0.42
QRF,200,9,7,0.863333,1.6759,0.1395,1.9936,0.38
QRF,200,9,8,0.87,1.6908,0.1446,2.0156,0.35
QRF,200,9,9,0.86,1.6717,0.145,1.9813,0.36
QRF,200,9,-1,0.87,1.683,0.1351,1.9791,0.0
QRF,300,0,0,0.845,1.6546,0.1609,2.0829,0.37
QRF,300,0,1,0.84,1.6467,0.1697,2.1079,0.41
QRF,300,0,2,0.841667,1.6532,0.1565,2.0869,0.38
QRF,300,0,3,0.846667,1.6568,0.1585,2.0731,0.38
QRF,300,0,4,0.84,1.6502,0.161,2.1038,0.35
QRF,300,0,5,0.851667,1.652,0.1557,2.076,0.37
QRF,300,0,6,0.833333,1.6384,0.1734,2.0965,0.41
QRF,300,0,7,0.846667,1.6462,0.1679,2.0905,0.38
QRF,300,0,8,0.833333,1.6417,0.1693,2.1213,0.41
QRF,300,0,9,0.84,1.6499,0.1635,2.1204,0.44
QRF,300,0,-1,0.835,1.649,0.1598,2.0814,0.0
QRF,300,1,0,0.813333,1.5959,0.2005,2.2613,0.41
QRF,300,1,1,0.818333,1.6089,0.1967,2.2233,0.41
QRF,300,1,2,0.823333,1.6232,0.1902,2.2379,0.45
QRF,300,1,3,0.83,1.6328,0.1811,2.2359,0.38
QRF,300,1,4,0.813333,1.6131,0.2032,2.2815,0.41
QRF,300,1,5,0.815,1.611,0.2045,2.2879,0.44
QRF,300,1,6,0.828333,1.6265,0.1856,2.2161,0.43
QRF,300,1,7,0.81,1.6056,0.2008,2.2757,0.44
QRF,300,1,8,0.816667,1.6089,0.1982,2.2802,0.35
QRF,300,1,9,0.821667,1.6164,0.2013,2.2837,0.45
QRF,300,1,-1,0.821667,1.6142,0.1892,2.233,0.0
QRF,300,2,0,0.861667,1.6877,0.1579,2.0818,0.4
QRF,300,2,1,0.87,1.6945,0.159,2.0861,0.36
QRF,300,2,2,0.86,1.6897,0.1616,2.0922,0.39
QRF,300,2,3,0.856667,1.6791,0.1622,2.0697,0.38
QRF,300,2,4,0.871667,1.7051,0.1537,2.0919,0.39
QRF,300,2,5,0.861667,1.6767,0.1734,2.1107,0.38
QRF,300,2,6,0.861667,1.6798,0.171,2.1017,0.41
QRF,300,2,7,0.858333,1.6805,0.1604,2.0744,0.35
QRF,300,2,8,0.855,1.6752,0.1652,2.1075,0.4
