model,n_train,data_seed,init_seed,picp,mpiw,sum_rmse,interval_score,time_s
ANN,200,9,-1,0.95,1.902,0.1035,1.9663,0.0
ANN,300,0,0,0.958333,1.9673,0.1366,2.0109,2.33
ANN,300,0,1,0.876667,1.7355,0.0736,1.9255,2.32
ANN,300,0,2,0.933333,2.0183,0.2202,2.1694,2.3
ANN,300,0,3,0.855,1.6717,0.0931,1.948,2.31
ANN,300,0,4,0.905,1.997,0.3032,2.3188,2.29
ANN,300,0,5,0.95,1.8884,0.0994,1.9621,2.3
ANN,300,0,6,0.928333,1.8465,0.1248,2.0103,2.3
ANN,300,0,7,0.875,1.7572,0.1357,2.0737,2.32
ANN,300,0,8,0.88,1.7294,0.1224,1.9854,2.32
ANN,300,0,9,0.981667,2.1619,0.2094,2.1732,2.3
ANN,300,0,-1,0.933333,1.8773,0.0979,1.958,0.0
ANN,300,1,0,0.901667,1.784,0.0995,1.9644,2.31
ANN,300,1,1,0.935,1.9121,0.114,1.9901,2.34
ANN,300,1,2,0.921667,1.8551,0.0868,1.941,2.41
ANN,300,1,3,0.896667,1.8737,0.1903,2.0824,2.4
ANN,300,1,4,0.916667,1.9687,0.2306,2.1498,2.41
ANN,300,1,5,0.93,1.9987,0.2176,2.147,2.4
ANN,300,1,6,0.945,1.9052,0.1042,1.9801,2.41
ANN,300,1,7,0.85,1.7368,0.1532,2.0655,2.36
ANN,300,1,8,0.881667,1.7656,0.1084,2.0003,2.3
ANN,300,1,9,0.868333,1.7273,0.087,1.9436,2.33
ANN,300,1,-1,0.923333,1.8527,0.0924,1.9441,0.0
ANN,300,2,0,0.873333,1.8347,0.1783,2.089,2.31
ANN,300,2,1,0.93,1.9208,0.1505,2.0177,2.29
ANN,300,2,2,0.798333,1.5796,0.1564,2.1135,2.25
ANN,300,2,3,0.85,1.6743,0.097,1.9548,2.26
ANN,300,2,4,0.865,1.8294,0.1977,2.2387,2.33
ANN,300,2,5,0.878333,1.8461,0.2077,2.1713,2.27
ANN,300,2,6,0.988333,2.169,0.225,2.1757,2.28
ANN,300,2,7,0.935,1.8899,0.126,1.9968,2.25
ANN,300,2,8,0.935,1.8863,0.1148,1.9968,2.26
ANN,300,2,9,0.878333,1.7507,0.1032,2.011,2.28
ANN,300,2,-1,0.93,1.8381,0.0713,1.9245,0.0
ANN,300,3,0,0.851667,1.6694,0.1211,2.0025,2.33
ANN,300,3,1,0.875,1.7163,0.0901,1.95,2.35
ANN,300,3,2,0.938333,1.8807,0.0975,1.9597,2.29
ANN,300,3,3,0.883333,1.7399,0.0973,1.9594,2.3
ANN,300,3,4,0.97,2.1445,0.216,2.1971,2.3
ANN,300,3,5,0.83,1.6416,0.1296,2.0401,2.25
ANN,300,3,6,0.828333,1.5898,0.1197,1.9966,2.32
ANN,300,3,7,0.858333,1.7253,0.1343,1.9971,2.33
ANN,300,3,8,0.825,1.6636,0.174,2.0961,2.28
ANN,300,3,9,0.865,1.7525,0.1543,2.1341,2.28
ANN,300,3,-1,0.891667,1.7524,0.0584,1.9131,0.0
ANN,300,4,0,0.971667,2.0061,0.1287,2.0302,2.26
ANN,300,4,1,0.938333,1.9832,0.1927,2.1402,2.29
ANN,300,4,2,0.913333,1.7941,0.1238,2.0373,2.27
ANN,300,4,3,0.938333,2.0312,0.1938,2.1633,2.29
ANN,300,4,4,0.943333,1.8878,0.1005,1.9863,2.32
ANN,300,4,5,0.896667,2.1888,0.4347,2.4562,2.25
ANN,300,4,6,0.921667,1.9547,0.1776,2.1273,2.3
ANN,300,4,7,0.926667,1.9556,0.1518,2.0944,2.28
ANN,300,4,8,0.891667,1.7707,0.0632,1.9058,2.28
ANN,300,4,9,0.976667,2.1882,0.2316,2.2373,2.32
ANN,300,4,-1,0.956667,1.976,0.1185,2.0422,0.0
ANN,300,5,0,0.771667,1.5134,0.1753,2.2294,2.27
ANN,300,5,1,0.886667,1.7372,0.1177,2.0189,2.29
ANN,300,5,2,0.865,1.7043,0.1185,2.0168,2.26
ANN,300,5,3,0.805,1.589,0.1518,2.0739,2.35
ANN,300,5,4,0.9,1.8011,0.1257,2.0045,2.3
ANN,300,5,5,0.956667,1.9322,0.1195,2.014,2.29
ANN,300,5,6,0.846667,1.6832,0.147,2.0958,2.33
ANN,300,5,7,0.823333,1.7106,0.2138,2.2263,2.3
ANN,300,5,8,0.896667,1.8373,0.1434,2.0291,2.3
ANN,300,5,9,0.81,1.5963,0.1849,2.2054,2.3
ANN,300,5,-1,0.873333,1.7105,0.1066,1.986,0.0
ANN,300,6,0,0.921667,1.9364,0.1699,2.0848,2.28
ANN,300,6,1,0.963333,1.9454,0.1007,1.9808,2.31
ANN,300,6,2,0.938333,1.9009,0.1011,1.9702,2.29
ANN,300,6,3,0.963333,2.1304,0.2157,2.187,2.29
ANN,300,6,4,0.983333,2.0582,0.1545,2.0798,2.31
ANN,300,6,5,0.943333,1.8696,0.0823,1.937,2.3
ANN,300,6,6,0.943333,1.9049,0.092,1.9766,2.31
ANN,300,6,7,0.946667,1.9209,0.1036,1.9884,2.29
ANN,300,6,8,0.958333,1.9546,0.1156,1.9987,2.29
ANN,300,6,9,0.921667,1.8318,0.0782,1.9392,1.33
ANN,300,6,-1,0.965,1.9453,0.0911,1.9723,0.0
ANN,300,7,0,0.848333,1.6534,0.1426,2.0412,1.22
ANN,300,7,1,0.873333,1.7205,0.0891,1.9624,1.26
ANN,300,7,2,0.82,1.6076,0.1256,2.0615,1.31
ANN,300,7,3,0.9,1.7824,0.1075,2.0212,1.3
ANN,300,7,4,0.965,2.0371,0.1616,2.0696,1.29
ANN,300,7,5,0.866667,1.745,0.1193,2.0176,1.28
ANN,300,7,6,0.876667,1.7328,0.0812,1.9638,1.4
