model,n_train,data_seed,init_seed,picp,mpiw,sum_rmse,interval_score,time_s
XGB,100,0,9,0.806667,1.6141,0.1864,2.1844,0.1
XGB,100,0,-1,0.841667,1.6706,0.1909,2.1781,0.0
XGB,100,1,0,0.798333,1.5949,0.2387,2.3816,0.1
XGB,100,1,1,0.79,1.5783,0.241,2.3754,0.11
XGB,100,1,2,0.785,1.5509,0.2464,2.4039,0.1
XGB,100,1,3,0.79,1.5802,0.2371,2.396,0.11
XGB,100,1,4,0.785,1.5582,0.2445,2.3877,0.11
XGB,100,1,5,0.786667,1.5796,0.2354,2.3616,0.12
XGB,100,1,6,0.791667,1.5888,0.2364,2.4072,0.11
XGB,100,1,7,0.776667,1.5513,0.256,2.456,0.11
XGB,100,1,8,0.8,1.5975,0.2361,2.3832,0.1
XGB,100,1,9,0.798333,1.6088,0.25,2.4376,0.1
XGB,100,1,-1,0.796667,1.5788,0.2377,2.3788,0.0
XGB,100,2,0,0.796667,1.5907,0.2158,2.2412,0.09
XGB,100,2,1,0.81,1.6038,0.2274,2.2574,0.1
XGB,100,2,2,0.798333,1.5619,0.215,2.2472,0.08
XGB,100,2,3,0.801667,1.5706,0.2106,2.2273,0.11
XGB,100,2,4,0.791667,1.5649,0.2149,2.2472,0.1
XGB,100,2,5,0.803333,1.5715,0.2118,2.2386,0.11
XGB,100,2,6,0.798333,1.5903,0.2122,2.2407,0.11
XGB,100,2,7,0.796667,1.5646,0.2129,2.2425,0.11
XGB,100,2,8,0.796667,1.549,0.2125,2.2438,0.1
XGB,100,2,9,0.796667,1.5593,0.2122,2.242,0.11
XGB,100,2,-1,0.8,1.5727,0.211,2.2335,0.0
XGB,100,3,0,0.775,1.5177,0.2299,2.3119,0.1
XGB,100,3,1,0.771667,1.5223,0.2285,2.3119,0.11
XGB,100,3,2,0.775,1.5327,0.2288,2.3186,0.11
XGB,100,3,3,0.781667,1.5391,0.2319,2.3402,0.11
XGB,100,3,4,0.775,1.5361,0.2261,2.3123,0.1
XGB,100,3,5,0.783333,1.5316,0.2295,2.3229,0.11
XGB,100,3,6,0.773333,1.5234,0.2293,2.3179,0.1
XGB,100,3,7,0.781667,1.5351,0.2254,2.301,0.11
XGB,100,3,8,0.77,1.5306,0.2256,2.3027,0.11
XGB,100,3,9,0.78,1.5394,0.2263,2.3107,0.11
XGB,100,3,-1,0.78,1.5308,0.2273,2.311,0.0
XGB,100,4,0,0.765,1.5017,0.2356,2.4159,0.11
XGB,100,4,1,0.763333,1.4992,0.2328,2.3976,0.12
